data,sample_size,RMSE,MAE,time_took,kernel
abalone,1520,2.233420739,1.569006261,44.794581,"RationalQuadratic(alpha=2,length_scale=0.5)"
abalone,1760,2.092349984,1.496033016,56.865378,"RationalQuadratic(alpha=2,length_scale=0.5)"
abalone,2000,2.222705829,1.527053364,75.812492,"RationalQuadratic(alpha=2,length_scale=0.5)"
abalone,2240,2.276415484,1.585207695,92.375759,"RationalQuadratic(alpha=2,length_scale=0.5)"
abalone,2480,2.188206924,1.517868564,110.883593,"RationalQuadratic(alpha=2,length_scale=0.5)"
abalone,2720,2.086221661,1.484566893,158.080461,"RationalQuadratic(alpha=2,length_scale=0.5)"
abalone,2960,2.240141859,1.534109155,197.184866,"RationalQuadratic(alpha=2,length_scale=0.5)"
abalone,3200,2.178843921,1.520076421,228.255691,"RationalQuadratic(alpha=2,length_scale=0.5)"
abalone,80,1.765179754,1.465993841,0.170995,"RationalQuadratic(alpha=2,length_scale=0.5)"
abalone,320,2.681823438,1.751296152,2.552969,"RationalQuadratic(alpha=2,length_scale=0.5)"
abalone,560,2.45484812,1.744837429,8.220231,"RationalQuadratic(alpha=2,length_scale=0.5)"
abalone,800,2.028571319,1.538176844,17.808928,"RationalQuadratic(alpha=2,length_scale=0.5)"
abalone,1040,2.229573492,1.629317905,23.051985,"RationalQuadratic(alpha=2,length_scale=0.5)"
abalone,1280,2.564318837,1.777095129,32.333136,"RationalQuadratic(alpha=2,length_scale=0.5)"
abalone,1520,2.379725997,1.630990634,40.351468,"RationalQuadratic(alpha=2,length_scale=0.5)"
abalone,1760,2.273939942,1.549519995,54.141612,"RationalQuadratic(alpha=2,length_scale=0.5)"
abalone,2000,2.1973791,1.580239866,80.461692,"RationalQuadratic(alpha=2,length_scale=0.5)"
abalone,2240,2.179457506,1.555469505,92.435219,"RationalQuadratic(alpha=2,length_scale=0.5)"
abalone,2480,2.176742116,1.4979535,114.518294,"RationalQuadratic(alpha=2,length_scale=0.5)"
abalone,2720,2.161320852,1.549370703,146.029127,"RationalQuadratic(alpha=2,length_scale=0.5)"
abalone,2960,2.078927456,1.471864941,187.338278,"RationalQuadratic(alpha=2,length_scale=0.5)"
abalone,3200,2.129833887,1.505247595,215.93858,"RationalQuadratic(alpha=2,length_scale=0.5)"
abalone,80,2.276205336,,0.35756,"RBF(length_scale=0.1) * RationalQuadratic(alpha=0.1, length_scale=0.5)"
abalone,480,11.38017282,,0.565233,"RBF(length_scale=0.1) * RationalQuadratic(alpha=0.1, length_scale=0.5)"
abalone,880,10.56086257,,1.659418,"RBF(length_scale=0.1) * RationalQuadratic(alpha=0.1, length_scale=0.5)"
abalone,1280,10.31170451,,2.755292,"RBF(length_scale=0.1) * RationalQuadratic(alpha=0.1, length_scale=0.5)"
abalone,1680,10.60480574,,4.205358,"RBF(length_scale=0.1) * RationalQuadratic(alpha=0.1, length_scale=0.5)"
abalone,2080,10.29310822,,6.279266,"RBF(length_scale=0.1) * RationalQuadratic(alpha=0.1, length_scale=0.5)"
abalone,2480,10.1650889,,8.955862,"RBF(length_scale=0.1) * RationalQuadratic(alpha=0.1, length_scale=0.5)"
abalone,2880,10.42932564,,12.500391,"RBF(length_scale=0.1) * RationalQuadratic(alpha=0.1, length_scale=0.5)"
abalone,3280,10.48128413,,16.604453,"RBF(length_scale=0.1) * RationalQuadratic(alpha=0.1, length_scale=0.5)"
abalone,80,2.785163271,1.813241221,0.406925,"RBF(length_scale=0.1) * RationalQuadratic(alpha=0.1, length_scale=0.5)"
abalone,320,10.28773542,9.9375,0.25098,"RBF(length_scale=0.1) * RationalQuadratic(alpha=0.1, length_scale=0.5)"
abalone,560,10.90052423,10.39285714,0.761502,"RBF(length_scale=0.1) * RationalQuadratic(alpha=0.1, length_scale=0.5)"
abalone,800,10.79652722,10.255,1.485627,"RBF(length_scale=0.1) * RationalQuadratic(alpha=0.1, length_scale=0.5)"
abalone,1040,10.48405383,9.992307692,2.03323,"RBF(length_scale=0.1) * RationalQuadratic(alpha=0.1, length_scale=0.5)"
abalone,1280,10.1157365,9.696875,2.762728,"RBF(length_scale=0.1) * RationalQuadratic(alpha=0.1, length_scale=0.5)"
abalone,1520,10.44194477,9.955263158,3.477373,"RBF(length_scale=0.1) * RationalQuadratic(alpha=0.1, length_scale=0.5)"
abalone,1760,10.59470279,10.02045455,4.5789,"RBF(length_scale=0.1) * RationalQuadratic(alpha=0.1, length_scale=0.5)"
abalone,2000,10.51199315,10.034,5.819233,"RBF(length_scale=0.1) * RationalQuadratic(alpha=0.1, length_scale=0.5)"
abalone,2240,10.27288386,9.767857143,7.413181,"RBF(length_scale=0.1) * RationalQuadratic(alpha=0.1, length_scale=0.5)"
abalone,2480,10.39424469,9.859677419,8.970139,"RBF(length_scale=0.1) * RationalQuadratic(alpha=0.1, length_scale=0.5)"
abalone,2720,10.68107177,10.11470588,10.940846,"RBF(length_scale=0.1) * RationalQuadratic(alpha=0.1, length_scale=0.5)"
